national_position,position_evolution,company_name,billing,category,company_link
20.712,593,MONTESPAIN SL,grande,2822,https://ranking-empresas.eleconomista.es/MONTESPAIN.html
20.793,1.018,PATINTER ESPAÑA SL,grande,4941,https://ranking-empresas.eleconomista.es/PATINTER-ESPANA.html
20.927,1.218,HERMUA RECAMBIOS SL,grande,4531,https://ranking-empresas.eleconomista.es/HERMUA-RECAMBIOS.html
20.951,5.497,"LINAMAR TOOLING SPAIN, S.A.",grande,2899,https://ranking-empresas.eleconomista.es/LINAMAR-TOOLING-SPAIN.html
20.978,287,"AB CABLES, SOCIEDAD LIMITADA.",grande,2410,https://ranking-empresas.eleconomista.es/AB-CABLES.html
21.048,2.931,RECYCLAIR SL,grande,3831,https://ranking-empresas.eleconomista.es/RECYCLAIR.html
21.109,2.249,"RIKUTEC IBERIA, SOCIEDAD ANONIMA.",grande,2229,https://ranking-empresas.eleconomista.es/RIKUTEC-IBERIA.html
21.118,3.739,HERDIT SL,grande,2511,https://ranking-empresas.eleconomista.es/HERDIT.html
21.523,5.866,ALEACIONES ALAVESAS SA,grande,2454,https://ranking-empresas.eleconomista.es/ALEACIONES-ALAVESAS.html
21.590,5.472,ALEACEROS SA,grande,4672,https://ranking-empresas.eleconomista.es/ALEACEROS.html
21.647,1.540,NOPIN ALAVESA SA,grande,4399,https://ranking-empresas.eleconomista.es/NOPIN-ALAVESA.html
21.752,3.943,LAGUNKETA SOCIEDAD DE ESTUDIOS Y SERVICIOS PARA LA CONSTRUCCION SA,grande,4121,https://ranking-empresas.eleconomista.es/LAGUNKETA-ESTUDIOS-SERVICIOS-PARA-CONSTRUCCION.html
21.784,1.989,"AUTO ELECTRICIDAD ARREGUI, S.L.",grande,4511,https://ranking-empresas.eleconomista.es/AUTO-ELECTRICIDAD-ARREGUI.html
21.894,197,MECANIZACIONES DEL SUR MECASUR SA,grande,2611,https://ranking-empresas.eleconomista.es/MECANIZACIONES-SUR-MECASUR.html
21.948,7.216,"AERNNOVA AEROSPACE CORPORATION, S.A.",grande,6420,https://ranking-empresas.eleconomista.es/AERNNOVA-AEROSPACE-CORPORATION.html
21.975,5.471,BURUPLAST SL,grande,2016,https://ranking-empresas.eleconomista.es/BURUPLAST.html
21.977,3.020,PROMOCIONES Y PAVIMENTACIONES BALGORZA SAU,grande,4299,https://ranking-empresas.eleconomista.es/PROMOCIONES-PAVIMENTACIONES-BALGORZA-SAU.html
22.091,1.803,"ARABAKO BIDEAK-VIAS DE ALAVA, S.A.",grande,4211,https://ranking-empresas.eleconomista.es/ARABAKO-BIDEAK-VIAS-ALAVA.html
